Time,Moss,Moss.number,Moss.sub,Microsite,Habitat,Index,Elevation,Site,Veg.Type,Topography,Shade.Index,PDIR,Slope,Aspect,Assay,Clip,Fo,Fm,Fv,Fv.Fm
0,1a,1,a,CB-F-1a,Interspace,3,890,1,CB,F,6,0.984599678,2,270,4,1,100,163,63,0.387
0,1b,1,b,CB-F-1b,Dripline,4,890,1,CB,F,7,0.984599678,2,270,3,12,109,274,165,0.602
0,2a,2,a,CB-F-2a,Dripline,4,890,1,CB,F,18,0.984599678,2,270,4,2,148,260,112,0.431
0,3,3,,CB-F-3,Canopy,5,890,1,CB,F,12,0.984599678,2,270,2,1,114,169,55,0.325
0,4,4,,CB-F-4,Interspace,3,890,1,CB,F,7,0.984599678,2,270,2,2,90,123,33,0.268
0,5a,5,a,CB-F-5a,Interspace,3,890,1,CB,F,7,0.984599678,2,270,3,9,43,82,39,0.476
0,5b,5,b,CB-F-5b,Interspace,3,890,1,CB,F,9,0.984599678,2,270,2,3,117,218,101,0.463
0,6a,6,a,CB-F-6a,Interspace,3,890,1,CB,F,8,0.984599678,2,270,3,1,127,247,120,0.486
0,7a,7,a,CB-F-7a,Interspace,3,890,1,CB,F,7,0.984599678,16,324,1,1,80,127,47,0.37
0,8,8,,CB-F-8,Interspace,3,890,1,CB,F,8,0.984599678,16,324,3,2,116,162,46,0.284
0,9,9,,CB-F-9,Interspace,3,890,1,CB,F,11,0.984599678,16,333,1,2,81,123,42,0.341
0,10,10,,CB-F-10,Interspace,3,890,1,CB,F,8,0.984599678,16,333,1,3,107,131,24,0.183
0,11,11,,CB-F-11,Dripline,4,890,1,CB,F,12,0.984599678,16,333,4,3,79,123,44,0.358
0,12,12,,CB-F-12,Interspace,3,890,1,CB,F,7,0.984599678,7,60,3,3,90,140,50,0.357
0,13a,13,a,CB-N-13a,Dripline,7,890,1,CB,N,17,0.824306114,11,71,3,4,112,244,132,0.541
0,14a,14,a,CB-N-14a,Interspace,6,890,1,CB,N,8,0.824306114,7,56,1,4,90,183,93,0.508
0,15a,15,a,CB-N-15a,Canopy,8,890,1,CB,N,22,0.824306114,9,56,1,5,95,213,118,0.554
0,16b,16,b,CB-N-16b,Dripline,7,890,1,CB,N,8,0.824306114,9,49,4,4,137,279,142,0.509
0,17a,17,a,CB-N-17a,Dripline,7,890,1,CB,N,16,0.876381781,9,57,2,4,87,155,68,0.439
0,18a,18,a,CB-N-18a,Canopy,8,890,1,CB,N,20,0.824306114,2,200,3,5,129,280,151,0.539
0,19a,19,a,CB-N-19a,Dripline,7,890,1,CB,N,13,0.824306114,2,200,4,5,108,207,99,0.478
0,20,20,,CB-N-20,Dripline,7,890,1,CB,N,12,0.824306114,2,200,3,6,98,226,128,0.566
0,21,21,,CB-N-21,Canopy,8,890,1,CB,N,16,0.824306114,6,223,1,6,97,195,98,0.503
0,22,22,,CB-N-22,Canopy,8,890,1,CB,N,18,0.813413214,8,229,2,5,143,279,136,0.487
0,23,23,,CB-N-23,Dripline,7,890,1,CB,N,10,0.813413214,8,233,2,6,90,210,120,0.571
0,24,24,,CB-N-24,Canopy,8,890,1,CB,N,21,0.813413214,5,246,4,6,160,277,117,0.422
0,25,25,,BB-N-25,Dripline,16,1670,2,BB,N,18,0.939925434,7,240,2,7,85,193,108,0.56
0,26a,26,a,BB-N-26,Interspace,15,1670,2,BB,N,11,0.934305544,7,240,2,8,75,129,54,0.419
0,27,27,,BB-N-27,Interspace,15,1670,2,BB,N,10,0.924222136,9,250,4,7,96,128,32,0.25
0,28,28,,BB-N-28,Canopy,17,1670,2,BB,N,21,0.936448383,7,256,1,7,45,121,76,0.628
0,29a,29,a,BB-N-29a,Interspace,15,1670,2,BB,N,11,0.919945929,9,185,1,8,75,111,36,0.324
0,30,30,,BB-N-30,Dripline,16,1670,2,BB,N,15,0.919945929,10,178,4,8,79,150,71,0.473
0,31,31,,BB-N-31,Canopy,17,1670,2,BB,N,23,0.912642087,10,185,2,9,103,200,97,0.485
0,32,32,,BB-N-32,Canopy,17,1670,2,BB,N,23,0.921043312,11,190,4,9,121,279,158,0.566
0,33a,33,a,BB-N-33a,Canopy,17,1670,2,BB,N,21,0.923275266,11,172,3,10,65,181,116,0.641
0,34a,34,a,BB-N-34,Canopy,17,1670,2,BB,N,21,0.918937525,10,180,1,9,51,194,143,0.737
0,35,35,,BB-N-35,Interspace,15,1670,2,BB,N,9,,,,,,,,,
0,36b,36,b,BB-N-36b,Interspace,15,1670,2,BB,N,10,0.935088415,12,192,3,11,65,101,36,0.356
0,37,37,,BB-F-37,Canopy,14,1670,2,BB,F,22,0.999691754,11,170,2,10,116,248,132,0.532
0,38a,38,a,BB-F-38a,Dripline,13,1670,2,BB,F,15,0.999691754,12,170,2,11,80,92,12,0.13
0,39a,39,a,BB-F-39a,Canopy,14,1670,2,BB,F,22,0.999691754,1,81,3,7,119,315,196,0.622
0,40a,40,a,BB-F-40a,Canopy,14,1670,2,BB,F,21,0.999691754,2,105,3,8,73,186,113,0.608
0,41a,41,a,BB-F-41a,Canopy,14,1670,2,BB,F,22,0.999691754,2,90,1,10,94,118,24,0.203
0,42a,42,a,BB-F-42a,Interspace,12,1670,2,BB,F,13,0.999691754,1,87,4,10,84,100,16,0.16
0,43,43,,BB-F-43,Canopy,14,1670,2,BB,F,24,0.999691754,2,93,2,12,67,190,123,0.647
0,44,44,,BB-F-44,Canopy,14,1670,2,BB,F,24,0.999691754,1,87,4,11,100,270,170,0.63
0,46b,46,b,BB-F-46b,Canopy,14,1670,2,BB,F,15,0.999691754,13,351,1,11,95,115,20,0.174
0,47b,47,b,BB-F-47b,Dripline,13,1670,2,BB,F,18,0.999691754,14,350,4,12,113,180,67,0.372
0,48a,48,a,BB-F-48a,Canopy,14,1670,2,BB,F,20,0.999691754,15,2,1,12,82,158,76,0.481
0,49,49,,BB-S-49,Canopy,11,1670,2,BB,S,22,1.009449117,16,3,2,13,124,273,149,0.546
0,50a,50,a,BB-S-50a,Canopy,11,1670,2,BB,S,21,1.000041924,10,2,3,13,174,290,116,0.4
0,51a,51,a,BB-S-51a,Canopy,11,1670,2,BB,S,23,1.003823053,14,10,4,13,140,234,94,0.402
0,52,52,,BB-S-52,Interspace,9,1670,2,BB,S,12,1.00980775,16,324,2,14,96,120,24,0.2
0,53,53,,BB-S-53,Dripline,10,1670,2,BB,S,18,,,,,,,,,
0,54,54,,BB-S-54,Canopy,11,1670,2,BB,S,18,1.006168985,16,324,4,14,104,160,56,0.35
0,55,55,,BB-S-55,Dripline,10,1670,2,BB,S,15,0.992800737,16,324,2,15,121,190,69,0.363
0,56,56,,BB-S-56,Canopy,11,1670,2,BB,S,20,0.998666458,16,324,3,14,37,55,18,0.327
0,57,57,,BB-S-57,Canopy,11,1670,2,BB,S,21,0.998666458,14,304,1,13,76,134,58,0.433
0,58a,58,a,BB-S-58a,Dripline,10,1670,2,BB,S,12,0.997774159,16,324,3,15,103,148,45,0.304
0,58b,58,b,BB-S-58b,Interspace,9,1670,2,BB,S,12,0.997774159,16,324,4,15,72,107,35,0.327
0,59,59,,BB-S-59,Canopy,11,1670,2,BB,S,19,0.987898666,2,270,1,14,76,161,85,0.528
0,60,60,,BB-S-60,Dripline,10,1670,2,BB,S,12,0.983506686,2,270,1,15,30,52,22,0.423
0,61,61,,PJ-S-61,Dripline,19,2070,3,PJ,S,18,1.036761193,8,62,4,16,154,213,59,0.277
0,62,62,,PJ-S-62,Canopy,20,2070,3,PJ,S,23,1.041414602,9,56,4,17,147,204,57,0.279
0,63,63,,PJ-S-63,Canopy,20,2070,3,PJ,S,23,1.041147091,2,270,2,16,77,224,147,0.656
0,64,64,,PJ-S-64,Canopy,20,2070,3,PJ,S,26,1.044271853,9,59,2,17,131,371,240,0.647
0,65,65,,PJ-S-65,Dripline,19,2070,3,PJ,S,22,1.044774038,10,62,1,16,41,72,31,0.431
0,66,66,,PJ-S-66,Canopy,20,2070,3,PJ,S,23,1.041465589,9,69,3,16,154,419,265,0.632
0,67a,67,a,PJ-S-67a,Canopy,20,2070,3,PJ,S,24,1.036417957,2,200,4,18,129,257,128,0.498
0,68,68,,PJ-S-68,Canopy,20,2070,3,PJ,S,24,1.047467414,2,200,1,17,124,219,95,0.434
0,69b,69,b,PJ-S-69b,Canopy,20,2070,3,PJ,S,24,1.049596271,2,200,3,17,101,203,102,0.502
0,70a,70,a,PJ-S-70a,Dripline,19,2070,3,PJ,S,22,1.049642055,2,200,3,18,95,174,79,0.454
0,71,71,,PJ-S-71,Canopy,20,2070,3,PJ,S,23,1.044271853,2,200,1,18,62,150,88,0.587
0,72,72,,PJ-S-72,Canopy,20,2070,3,PJ,S,20,1.048134851,2,200,2,18,94,165,71,0.43
0,73,73,,PJ-F-73,Dripline,22,2070,3,PJ,F,19,0.98445211,2,200,1,19,54,66,12,0.182
0,74,74,,PJ-F-74,Canopy,23,2070,3,PJ,F,25,0.987787756,2,200,4,19,115,249,134,0.538
0,75a,75,a,PJ-F-75a,Canopy,23,2070,3,PJ,F,22,0.987787756,6,237,3,19,142,283,141,0.498
0,76a,76,a,PJ-F-76a,Dripline,22,2070,3,PJ,F,17,0.983434017,7,234,3,20,86,125,39,0.312
0,77,77,,PJ-F-77,Dripline,22,2070,3,PJ,F,17,0.983434017,7,241,2,19,119,182,63,0.346
0,78,78,,PJ-F-78,Canopy,23,2070,3,PJ,F,25,0.985327793,7,241,1,20,60,159,99,0.623
0,79,79,,PJ-F-79,Dripline,22,2070,3,PJ,F,12,0.984314389,2,270,4,20,95,111,16,0.144
0,80a,80,a,PJ-F-80a,Dripline,22,2070,3,PJ,F,20,0.984314389,2,270,2,20,54,93,39,0.419
0,81a,81,a,PJ-F-81a,Canopy,23,2070,3,PJ,F,24,0.987905064,0,,3,21,114,286,172,0.601
0,82a,82,a,PJ-F-82a,Canopy,23,2070,3,PJ,F,24,0.987905064,12,182,1,21,85,184,99,0.538
0,83a,83,a,PJ-F-83a,Canopy,23,2070,3,PJ,F,19,0.985327793,2,270,4,21,137,166,29,0.175
0,84,84,,PJ-F-84,Dripline,22,2070,3,PJ,F,25,0.985327793,12,179,2,21,86,110,24,0.218
0,85,85,,PJ-N-85,Dripline,25,2070,3,PJ,N,24,0.837911173,2,105,4,22,71,201,130,0.647
0,86a,86,a,PJ-N-86a,Canopy,26,2070,3,PJ,N,23,0.836592778,2,90,3,22,159,305,146,0.479
0,87a,87,a,PJ-N-87a,Canopy,26,2070,3,PJ,N,27,0.825542026,2,93,4,23,128,341,213,0.625
0,88,88,,PJ-N-88,Canopy,26,2070,3,PJ,N,25,0.810893092,0,,1,22,102,292,190,0.651
0,89,89,,PJ-N-89,Canopy,26,2070,3,PJ,N,27,0.797902037,0,,2,22,90,277,187,0.675
0,90a,90,a,PJ-N-90a,Dripline,25,2070,3,PJ,N,20,0.823930318,1,87,2,23,65,170,105,0.618
0,91,91,,PJ-N-91,Dripline,25,2070,3,PJ,N,17,0.79973836,13,1,4,24,67,119,52,0.437
0,92a,92,a,PJ-N-92a,Dripline,25,2070,3,PJ,N,25,0.798043594,0,,3,23,150,385,235,0.61
0,93,93,,PJ-N-93,Canopy,26,2070,3,PJ,N,24,0.874119733,14,357,2,24,102,325,223,0.686
0,94,94,,PJ-N-94,Canopy,26,2070,3,PJ,N,21,0.825542026,16,356,1,23,84,173,89,0.514
0,95a,95,a,PJ-N-95a,Canopy,26,2070,3,PJ,N,26,0.771677313,18,5,3,24,132,341,209,0.613
0,96a,96,a,PJ-N-96a,Canopy,26,2070,3,PJ,N,26,0.784483093,17,0,1,24,115,318,203,0.638